model,signal,bin_lo,bin_hi,bin_mid,bin_count,avg_predicted,avg_observed,bin_ece_contrib
Qwen,self_report_inverted,0.6000000000000001,0.7000000000000001,0.6500000000000001,3,0.6966666666666667,0.6666666666666666,0.00045000000000000037
Qwen,self_report_inverted,0.7000000000000001,0.8,0.75,2,0.765,1.0,0.00235
Qwen,self_report_inverted,0.8,0.9,0.8500000000000001,5,0.8539999999999999,0.8,0.0013499999999999957
Qwen,self_report_inverted,0.9,1.0,0.95,108,0.9898148148148148,0.6388888888888888,0.18950000000000003
Qwen,length_score,0.0,0.1,0.05,0,,,0.0
Qwen,length_score,0.1,0.2,0.15000000000000002,0,,,0.0
Qwen,length_score,0.2,0.30000000000000004,0.25,44,0.19999999999999993,0.5227272727272727,0.07100000000000001
Qwen,length_score,0.30000000000000004,0.4,0.35000000000000003,0,,,0.0
Qwen,length_score,0.4,0.5,0.45,63,0.3999999999999998,0.2222222222222222,0.05599999999999994
Qwen,length_score,0.5,0.6000000000000001,0.55,89,0.5382022471910112,0.6629213483146067,0.05550000000000001
Qwen,length_score,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,,,0.0
Qwen,length_score,0.7000000000000001,0.8,0.75,0,,,0.0
Qwen,length_score,0.8,0.9,0.8500000000000001,4,0.8,1.0,0.003999999999999999
Qwen,length_score,0.9,1.0,0.95,0,,,0.0
Qwen,max_entropy_global,0.0,0.1,0.05,0,,,0.0
Qwen,max_entropy_global,0.1,0.2,0.15000000000000002,0,,,0.0
Qwen,max_entropy_global,0.2,0.30000000000000004,0.25,0,,,0.0
Qwen,max_entropy_global,0.30000000000000004,0.4,0.35000000000000003,0,,,0.0
Qwen,max_entropy_global,0.4,0.5,0.45,0,,,0.0
Qwen,max_entropy_global,0.5,0.6000000000000001,0.55,3,0.5800330783662005,0.6666666666666666,0.0012995038245069911
Qwen,max_entropy_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,15,0.6643427627204862,0.06666666666666667,0.04482570720403647
Qwen,max_entropy_global,0.7000000000000001,0.8,0.75,73,0.7527591132047545,0.136986301369863,0.2247570763197354
Qwen,max_entropy_global,0.8,0.9,0.8500000000000001,38,0.8416972310541752,0.4473684210526316,0.07492247390029327
Qwen,max_entropy_global,0.9,1.0,0.95,71,0.9733087172917628,0.9859154929577465,0.004475405361424203
